Data Modality,Number of Studies
Visual,354
Multimodal,252
Text,198
Structured Clinical Data,146
Physiological Signals & Sensor Data,120
Audio/Speech,38
Behavioral & Interaction Data,29
Biomarker/Omics Data,6
Social Media,1
Healthcare Administrative and Operational Data,1
Unclear,67
